taxonomy,consequence,loss_type,slight,moderate,extensive,complete
CR/LDUAL+CDL+DUM+VL100/H8/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM+VL100/H8/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM+VL100/H9/COM,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM+VL100/H9/IND,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDL+DUM+VL100/H9/RES,collapsed,structural,0,0,0,0.038
CR/LDUAL+CDM+DUL/H1/COM,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDM+DUL/H1/IND,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDM+DUL/H1/RES,collapsed,structural,0,0,0,0.08
CR/LDUAL+CDM+DUL/H10/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H10/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H10/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H11/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H11/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H11/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H12/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H12/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H12/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H2/COM,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDM+DUL/H2/IND,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDM+DUL/H2/RES,collapsed,structural,0,0,0,0.076190476
CR/LDUAL+CDM+DUL/H3/COM,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDM+DUL/H3/IND,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDM+DUL/H3/RES,collapsed,structural,0,0,0,0.072380952
CR/LDUAL+CDM+DUL/H4/COM,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDM+DUL/H4/IND,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDM+DUL/H4/RES,collapsed,structural,0,0,0,0.068571429
CR/LDUAL+CDM+DUL/H5/COM,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDM+DUL/H5/IND,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDM+DUL/H5/RES,collapsed,structural,0,0,0,0.064761905
CR/LDUAL+CDM+DUL/H6/COM,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDM+DUL/H6/IND,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDM+DUL/H6/RES,collapsed,structural,0,0,0,0.060952381
CR/LDUAL+CDM+DUL/H7/COM,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDM+DUL/H7/IND,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDM+DUL/H7/RES,collapsed,structural,0,0,0,0.057142857
CR/LDUAL+CDM+DUL/H8/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H8/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H8/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H9/COM,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H9/IND,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUL/H9/RES,collapsed,structural,0,0,0,0.053333333
CR/LDUAL+CDM+DUM/H1/COM,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDM+DUM/H1/IND,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDM+DUM/H1/RES,collapsed,structural,0,0,0,0.076
CR/LDUAL+CDM+DUM/H10/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H10/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H10/NSCA/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H10/NSCA/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H10/NSCA/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H10/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/NSCA/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/NSCA/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/NSCA/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H11/RES,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H12/COM,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H12/IND,collapsed,structural,0,0,0,0.050666667
CR/LDUAL+CDM+DUM/H12/NSCA/COM,collapsed,structural,0,0,0,0.050666667
